Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,13.9455,1.381115,0.3257,0.3243,0.3257,0.2723,0.5044,-7.456053,5.5012,43.2626
1,2,3.1534,1.292053,0.368,0.247,0.368,0.276,0.4863,-0.587454,2.1788,7.4964
1,3,2.7735,1.27525,0.331,0.2391,0.331,0.27,0.4675,-0.360671,1.9949,6.2694
1,4,2.7413,1.262085,0.3979,0.3166,0.3979,0.2649,0.4903,-0.210154,1.9777,6.1928
2,1,2.6135,1.259226,0.3908,0.2848,0.3908,0.3284,0.4793,-0.118685,1.9272,5.7733
2,2,2.4791,1.260747,0.3715,0.3597,0.3715,0.2884,0.4947,-0.103294,1.8405,5.3218
2,3,2.4066,1.269328,0.3627,0.2516,0.3627,0.2822,0.4911,-0.050869,1.7929,5.0604
2,4,2.5375,1.270573,0.3609,0.2509,0.3609,0.2926,0.4729,-0.047937,1.8657,5.4937
3,1,2.5085,1.245433,0.4032,0.2845,0.4032,0.3014,0.5029,-0.058566,1.8778,5.4555
3,2,2.4302,1.242745,0.3732,0.2631,0.3732,0.3024,0.5264,-0.041676,1.8208,5.201
3,3,2.3765,1.260804,0.3592,0.2496,0.3592,0.2869,0.5026,-0.02876,1.7666,4.9799
3,4,2.5193,1.261744,0.3996,0.3348,0.3996,0.3307,0.4968,-0.040608,1.8639,5.4535
4,1,2.4843,1.254486,0.3732,0.2799,0.3732,0.3176,0.4948,-0.042569,1.8556,5.3537
4,2,2.4508,1.253507,0.412,0.2955,0.412,0.2921,0.4792,-0.066143,1.8156,5.2445
4,3,2.3994,1.261112,0.3732,0.2668,0.3732,0.311,0.4862,-0.068993,1.785,5.0555
4,4,2.5103,1.256081,0.4085,0.289,0.4085,0.3012,0.5033,-0.028337,1.8573,5.4367
5,1,2.4804,1.244155,0.3961,0.2845,0.3961,0.3164,0.494,-0.029468,1.8635,5.3649
5,2,2.4245,1.24552,0.3785,0.2471,0.3785,0.2803,0.4916,-0.074259,1.8181,5.1753
5,3,2.4285,1.262406,0.3732,0.2628,0.3732,0.3007,0.5082,-0.075512,1.8084,5.1494
5,4,2.5249,1.254154,0.3979,0.3437,0.3979,0.3135,0.5143,-0.024457,1.8799,5.4899
6,1,2.484,1.244453,0.4067,0.2917,0.4067,0.3331,0.5096,-0.019345,1.8624,5.3764
6,2,2.414,1.250953,0.3996,0.2757,0.3996,0.2833,0.47,-0.035586,1.8024,5.1278
6,3,2.4144,1.259259,0.3785,0.355,0.3785,0.3296,0.5179,-0.045285,1.8025,5.1099
6,4,2.5258,1.253203,0.3908,0.2728,0.3908,0.3152,0.5014,-0.022661,1.8633,5.4954
7,1,2.5223,1.24159,0.4014,0.2807,0.4014,0.3057,0.5267,-0.050467,1.8914,5.5107
7,2,2.4013,1.248364,0.3926,0.2725,0.3926,0.2914,0.4961,-0.038273,1.8002,5.0914
7,3,2.4003,1.252844,0.3556,0.2517,0.3556,0.2934,0.5155,-0.06604,1.8024,5.0778
7,4,2.5258,1.255637,0.4067,0.28,0.4067,0.2958,0.5003,-0.032695,1.8833,5.4896
8,1,2.5326,1.236561,0.4102,0.2965,0.4102,0.3384,0.5254,-0.069333,1.8967,5.5566
8,2,2.4027,1.246303,0.3891,0.2787,0.3891,0.3158,0.4944,-0.015495,1.8004,5.1011
8,3,2.3768,1.258144,0.375,0.2644,0.375,0.2964,0.4864,-0.021183,1.776,4.9869
8,4,2.522,1.250292,0.4049,0.2798,0.4049,0.3058,0.5206,-0.038255,1.8623,5.4894
9,1,2.4974,1.256716,0.3732,0.2721,0.3732,0.3126,0.4704,-0.050576,1.8566,5.3924
9,2,2.3937,1.243542,0.3944,0.2781,0.3944,0.3002,0.5091,-0.013258,1.7895,5.0775
9,3,2.3652,1.260109,0.3504,0.2431,0.3504,0.2766,0.5042,-0.016403,1.7621,4.9436
9,4,2.5461,1.265243,0.3785,0.2633,0.3785,0.3048,0.4945,-0.037859,1.875,5.5349
10,1,2.4654,1.258686,0.3574,0.2712,0.3574,0.3047,0.4798,-0.019862,1.8434,5.2812
10,2,2.4394,1.265974,0.368,0.2478,0.368,0.282,0.4731,-0.033698,1.8034,5.1774
10,3,2.4106,1.273165,0.331,0.2375,0.331,0.2761,0.4766,-0.0402,1.7894,5.0647
10,4,2.5005,1.257211,0.4137,0.2776,0.4137,0.2861,0.5181,-0.030846,1.8532,5.4014
11,1,2.4784,1.252977,0.3768,0.2696,0.3768,0.3099,0.4594,-0.016216,1.8503,5.3378
11,2,2.4282,1.256967,0.3715,0.2571,0.3715,0.2926,0.4697,-0.055812,1.8058,5.1611
11,3,2.4331,1.25949,0.3574,0.2512,0.3574,0.2809,0.513,-0.067195,1.8097,5.1716
11,4,2.554,1.261867,0.4102,0.2704,0.4102,0.2776,0.4787,-0.07774,1.8749,5.5689
12,1,2.4818,1.256526,0.368,0.2737,0.368,0.3121,0.4892,-0.027043,1.8578,5.3409
12,2,2.4058,1.245325,0.3873,0.346,0.3873,0.2964,0.5052,-0.029563,1.8018,5.1135
12,3,2.3648,1.270909,0.3451,0.2425,0.3451,0.2822,0.5004,-0.004212,1.7513,4.917
12,4,2.5245,1.250126,0.4296,0.4393,0.4296,0.2893,0.4909,-0.032206,1.8663,5.4982
13,1,2.6134,1.251151,0.3803,0.2686,0.3803,0.3042,0.474,-0.116874,1.9353,5.7918
13,2,2.4328,1.24723,0.4014,0.2854,0.4014,0.3071,0.4823,-0.054515,1.8359,5.1993
13,3,2.3969,1.259033,0.3574,0.2547,0.3574,0.2974,0.5103,-0.027557,1.7869,5.0518
13,4,2.5276,1.255604,0.3961,0.2357,0.3961,0.2625,0.4968,-0.030215,1.8565,5.4955
