Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,27.4098,1.353998,0.3662,0.1757,0.3662,0.2375,0.5287,-15.920037,9.0841,88.2065
1,2,15.1666,1.34977,0.4032,0.1625,0.4032,0.2317,0.5187,-8.609622,6.4806,47.4059
1,3,6.691,1.432706,0.3785,0.1433,0.3785,0.2079,0.5451,-2.920579,3.8256,18.9602
1,4,3.334,1.372261,0.419,0.4843,0.419,0.2495,0.5035,-0.490915,2.3162,7.9113
2,1,2.4722,1.273576,0.4014,0.2024,0.4014,0.2378,0.5295,0.007155,1.8393,5.2691
2,2,2.3815,1.232369,0.4032,0.2453,0.4032,0.2353,0.5333,0.006851,1.786,5.0628
2,3,2.334,1.238412,0.3785,0.3102,0.3785,0.2139,0.5995,-0.000317,1.7499,4.8904
2,4,2.4778,1.233318,0.4366,0.3282,0.4366,0.3043,0.5545,-0.002314,1.8457,5.3814
3,1,2.4329,1.215091,0.4278,0.3524,0.4278,0.2914,0.5829,-0.004134,1.8433,5.2746
3,2,2.3381,1.211004,0.4331,0.3231,0.4331,0.3163,0.5856,0.013184,1.773,4.968
3,3,2.325,1.224448,0.412,0.2895,0.412,0.3107,0.5934,-0.002748,1.7526,4.893
3,4,2.4584,1.204726,0.4542,0.323,0.4542,0.3676,0.6247,-0.001929,1.8419,5.3837
4,1,2.4219,1.1946,0.4683,0.3497,0.4683,0.3776,0.6053,0.004416,1.8423,5.2857
4,2,2.3328,1.174854,0.4665,0.3387,0.4665,0.3858,0.6474,-0.002102,1.7823,5.0346
4,3,2.29,1.169631,0.4718,0.3336,0.4718,0.3878,0.6527,0.000509,1.751,4.9043
4,4,2.4122,1.158902,0.5035,0.3684,0.5035,0.4252,0.652,-0.009422,1.8399,5.3365
5,1,2.3806,1.133564,0.5194,0.381,0.5194,0.4388,0.6523,0.003314,1.8447,5.2903
5,2,2.2976,1.130967,0.5088,0.3745,0.5088,0.4313,0.6494,-0.012725,1.7832,5.0198
5,3,2.2642,1.131601,0.5,0.3564,0.5,0.4162,0.6943,0.003565,1.7558,4.9068
5,4,2.392,1.110406,0.5352,0.4678,0.5352,0.4583,0.6796,-0.011041,1.8452,5.3823
6,1,2.357,1.111096,0.5123,0.3779,0.5123,0.4349,0.6807,0.004486,1.8419,5.2642
6,2,2.2644,1.084229,0.507,0.3791,0.507,0.4327,0.7098,0.0036,1.779,5.0182
6,3,2.2584,1.126258,0.5123,0.5002,0.5123,0.4408,0.6786,-0.012515,1.753,4.9
6,4,2.3706,1.081783,0.5475,0.5245,0.5475,0.4765,0.6977,-0.005029,1.8442,5.3777
7,1,2.3382,1.07931,0.5176,0.4717,0.5176,0.4509,0.7005,0.008857,1.8423,5.2754
7,2,2.2475,1.067216,0.5599,0.5279,0.5599,0.4848,0.7235,-0.007228,1.7749,5.0014
7,3,2.2179,1.06255,0.5423,0.5082,0.5423,0.459,0.729,-0.008332,1.7591,4.9138
7,4,2.3405,1.050307,0.5475,0.4949,0.5475,0.4854,0.7463,-0.019407,1.8413,5.3509
8,1,2.3125,1.035233,0.5493,0.4801,0.5493,0.4769,0.7247,-0.004873,1.8435,5.2929
8,2,2.238,1.038955,0.5581,0.5272,0.5581,0.4836,0.7216,-0.01594,1.7813,5.0358
8,3,2.2105,1.045486,0.5475,0.4919,0.5475,0.4784,0.7411,-0.005672,1.7649,4.9287
8,4,2.368,1.060347,0.5423,0.4848,0.5423,0.4946,0.7264,-0.021393,1.8536,5.4193
9,1,2.3459,1.049469,0.5546,0.4764,0.5546,0.4993,0.7315,-0.0432,1.8584,5.371
9,2,2.2213,1.036669,0.5634,0.5154,0.5634,0.503,0.7511,0.006632,1.7751,4.9854
9,3,2.1957,1.020971,0.5634,0.5074,0.5634,0.5181,0.7624,-0.014468,1.7634,4.9366
9,4,2.2947,0.975428,0.5845,0.5443,0.5845,0.544,0.7824,-0.023045,1.847,5.373
10,1,2.2858,0.988998,0.5827,0.5265,0.5827,0.5385,0.7735,-0.011886,1.8501,5.3116
10,2,2.1848,0.977311,0.5845,0.5229,0.5845,0.5309,0.7694,-0.017388,1.7782,5.0022
10,3,2.1643,0.993703,0.5634,0.4907,0.5634,0.5109,0.7707,0.013709,1.7519,4.8958
10,4,2.2931,0.982017,0.581,0.5445,0.581,0.5356,0.7608,-0.021759,1.8395,5.3522
11,1,2.2732,0.974238,0.5827,0.5118,0.5827,0.5341,0.7688,-0.006298,1.8476,5.3041
11,2,2.1903,0.975621,0.588,0.5135,0.588,0.5324,0.7645,-0.020623,1.7811,5.0245
11,3,2.1671,0.995143,0.5722,0.5071,0.5722,0.5243,0.7741,-0.023327,1.7549,4.9016
11,4,2.2849,0.939518,0.5951,0.5431,0.5951,0.561,0.7936,0.007952,1.8544,5.4242
12,1,2.2387,0.931323,0.6109,0.5663,0.6109,0.5649,0.7943,0.001693,1.8429,5.2894
12,2,2.1634,0.936226,0.5915,0.5315,0.5915,0.5362,0.7878,-0.027654,1.7813,5.0268
12,3,2.1421,0.960798,0.5845,0.5328,0.5845,0.5341,0.7848,-0.003885,1.753,4.8984
12,4,2.2772,0.955299,0.5986,0.5382,0.5986,0.5637,0.7941,-0.013885,1.8432,5.3615
13,1,2.2415,0.94367,0.6021,0.5364,0.6021,0.5554,0.787,-0.016842,1.8418,5.2699
13,2,2.1487,0.919501,0.6092,0.5541,0.6092,0.5588,0.798,-0.005155,1.7785,5.0167
13,3,2.0853,0.874934,0.632,0.5776,0.632,0.5999,0.8212,-0.013144,1.7546,4.9096
13,4,2.2442,0.897268,0.6197,0.5727,0.6197,0.5887,0.8101,-0.019271,1.8429,5.387
14,1,2.212,0.886138,0.6303,0.5809,0.6303,0.5904,0.8019,-0.022378,1.8466,5.3056
14,2,2.1277,0.887349,0.6127,0.5666,0.6127,0.5756,0.8086,-0.023132,1.7853,5.0218
14,3,2.1035,0.902129,0.5827,0.5313,0.5827,0.54,0.8177,-0.007137,1.7535,4.9067
14,4,2.2314,0.899165,0.6144,0.5692,0.6144,0.5839,0.8134,-0.016597,1.8365,5.3401
15,1,2.1782,0.850673,0.6373,0.5781,0.6373,0.6031,0.8308,0.004983,1.8383,5.2758
15,2,2.0893,0.829627,0.6444,0.5928,0.6444,0.6083,0.8337,-0.02884,1.7839,5.0286
15,3,2.0997,0.895201,0.6144,0.5647,0.6144,0.5826,0.8177,-0.003389,1.7592,4.9101
15,4,2.2719,0.930023,0.6004,0.548,0.6004,0.5619,0.8021,-0.025118,1.8494,5.4028
16,1,2.211,0.884021,0.6197,0.5669,0.6197,0.5864,0.8124,-0.000756,1.8489,5.3073
16,2,2.1319,0.86846,0.6408,0.5869,0.6408,0.5978,0.8251,-0.015237,1.7934,5.0798
16,3,2.0463,0.805942,0.6373,0.5817,0.6373,0.5992,0.8475,-0.034416,1.7636,4.9406
16,4,2.2348,0.844373,0.6461,0.597,0.6461,0.6191,0.8414,-0.011274,1.8635,5.4793
17,1,2.2063,0.866905,0.5968,0.5561,0.5968,0.5747,0.8157,-0.029417,1.852,5.3317
17,2,2.0929,0.81789,0.6479,0.6226,0.6479,0.594,0.8404,-0.024611,1.79,5.0679
17,3,2.045,0.809526,0.6408,0.5862,0.6408,0.6027,0.8519,-0.008476,1.755,4.9277
17,4,2.2179,0.837429,0.6285,0.5978,0.6285,0.6104,0.8404,-0.014834,1.8521,5.4389
18,1,2.1303,0.790743,0.6532,0.6036,0.6532,0.6187,0.8455,-0.013809,1.8391,5.256
18,2,2.0538,0.794439,0.6796,0.6232,0.6796,0.6331,0.8423,-0.007059,1.7792,4.9925
18,3,2.0544,0.808182,0.6373,0.5926,0.6373,0.6044,0.8494,-0.029797,1.7673,4.9622
18,4,2.1865,0.807802,0.6461,0.6076,0.6461,0.6259,0.8501,-0.016413,1.8525,5.4036
19,1,2.1886,0.87293,0.625,0.6363,0.625,0.5944,0.8216,-0.020137,1.8385,5.2586
19,2,2.0578,0.798451,0.6408,0.6304,0.6408,0.6111,0.8526,-0.02043,1.7768,4.9963
19,3,2.0466,0.818383,0.6232,0.577,0.6232,0.5956,0.8448,-0.012543,1.754,4.9126
19,4,2.1192,0.739587,0.6708,0.6284,0.6708,0.648,0.8687,-0.015429,1.8365,5.3382
20,1,2.1075,0.758424,0.6655,0.6803,0.6655,0.6267,0.8662,0.002758,1.8395,5.2554
20,2,2.0615,0.787258,0.6637,0.6203,0.6637,0.6344,0.8584,-0.016589,1.7797,5.0348
20,3,2.0467,0.812249,0.6496,0.627,0.6496,0.6271,0.8378,-0.01316,1.7594,4.927
20,4,2.1563,0.792189,0.6461,0.604,0.6461,0.6228,0.8593,-0.014401,1.8396,5.3392
21,1,2.129,0.779872,0.6461,0.6215,0.6461,0.6243,0.8511,-0.01286,1.844,5.2768
21,2,2.0204,0.747598,0.6725,0.6869,0.6725,0.6495,0.8712,-0.007317,1.7771,4.9903
21,3,2.0197,0.781829,0.6567,0.6483,0.6567,0.6239,0.8614,-0.009845,1.7569,4.9079
21,4,2.1674,0.782925,0.6602,0.6626,0.6602,0.645,0.8591,-0.028052,1.8512,5.3977
22,1,2.1088,0.749311,0.6919,0.6855,0.6919,0.6691,0.8677,-0.00554,1.8454,5.2811
22,2,2.014,0.721119,0.6831,0.6783,0.6831,0.6588,0.8698,-0.009922,1.7849,5.0308
22,3,1.9898,0.745847,0.6831,0.7015,0.6831,0.6637,0.8689,-0.003295,1.7501,4.8923
