Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,31.1771,1.443949,0.1866,0.17,0.1866,0.162,0.5174,-18.142623,9.734,100.5544
1,2,23.9194,1.492178,0.1408,0.1604,0.1408,0.0775,0.5316,-14.24952,8.3545,76.2497
1,3,15.972,1.460226,0.206,0.2165,0.206,0.1757,0.4731,-9.142823,6.613,49.8327
1,4,9.6563,1.393744,0.331,0.3076,0.331,0.2782,0.4817,-4.46953,4.8127,28.9357
2,1,5.0161,1.308318,0.3292,0.2471,0.3292,0.2784,0.5115,-1.594172,3.1231,13.6675
2,2,3.074,1.249465,0.4049,0.2902,0.4049,0.3197,0.5076,-0.466609,2.2101,7.3311
2,3,3.1586,1.256441,0.3891,0.2732,0.3891,0.2597,0.4865,-0.583383,2.229,7.597
2,4,2.9557,1.244161,0.419,0.3088,0.419,0.2814,0.5062,-0.295103,2.099,6.9494
3,1,2.7495,1.234551,0.4014,0.2723,0.4014,0.2621,0.5164,-0.146774,2.0128,6.2845
3,2,2.5272,1.237189,0.3908,0.256,0.3908,0.2696,0.5104,-0.128744,1.8875,5.5373
3,3,2.5865,1.242633,0.375,0.3396,0.375,0.3162,0.5431,-0.127487,1.9168,5.7223
3,4,2.7805,1.244057,0.3979,0.2668,0.3979,0.2855,0.5137,-0.227541,2.0165,6.3655
4,1,2.59,1.230069,0.412,0.2857,0.412,0.2748,0.5283,-0.105327,1.9345,5.7632
4,2,2.4853,1.230152,0.3996,0.2865,0.3996,0.3143,0.5256,-0.079228,1.8695,5.4141
4,3,2.4649,1.253472,0.368,0.2397,0.368,0.2313,0.5073,-0.070607,1.8345,5.2917
4,4,2.5925,1.246853,0.3856,0.3686,0.3856,0.273,0.4944,-0.05991,1.9143,5.7325
5,1,2.5138,1.229878,0.382,0.2622,0.382,0.2999,0.5475,-0.031494,1.8866,5.5096
5,2,2.4315,1.230178,0.4032,0.2878,0.4032,0.3032,0.5145,-0.051339,1.8171,5.2346
5,3,2.4148,1.244515,0.3979,0.2984,0.3979,0.279,0.5415,-0.059747,1.8016,5.1453
5,4,2.5446,1.243938,0.3926,0.2679,0.3926,0.3094,0.512,-0.063279,1.8871,5.5794
6,1,2.5293,1.233701,0.4102,0.2961,0.4102,0.2858,0.5082,-0.050666,1.8921,5.5524
6,2,2.4019,1.233936,0.4032,0.2694,0.4032,0.2745,0.5033,-0.052081,1.8095,5.1272
6,3,2.4221,1.256866,0.3644,0.2371,0.3644,0.2569,0.4906,-0.079196,1.8034,5.141
6,4,2.5206,1.24042,0.4261,0.296,0.4261,0.3221,0.515,-0.032118,1.8705,5.5078
7,1,2.4674,1.219656,0.4102,0.3113,0.4102,0.2582,0.57,-0.012985,1.8585,5.3787
7,2,2.4291,1.241649,0.3944,0.2672,0.3944,0.269,0.5021,-0.033994,1.8137,5.1997
7,3,2.4014,1.252105,0.382,0.2647,0.382,0.2972,0.499,-0.07471,1.7923,5.0831
7,4,2.5339,1.234845,0.4278,0.3006,0.4278,0.3344,0.5341,-0.031924,1.8805,5.5651
