Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,28.2949,1.396691,0.3151,0.3099,0.3151,0.2402,0.4985,-16.477759,9.2129,91.0573
1,2,9.3707,1.347335,0.4032,0.1628,0.4032,0.232,0.499,-4.665324,4.6039,28.0919
1,3,2.8918,1.282083,0.3715,0.3736,0.3715,0.2954,0.4863,-0.297683,2.0515,6.6478
1,4,2.6206,1.252838,0.4067,0.2779,0.4067,0.3151,0.5053,-0.052896,1.9213,5.8121
2,1,2.536,1.244984,0.4085,0.2816,0.4085,0.2681,0.491,-0.045528,1.8893,5.5485
2,2,2.43,1.249328,0.3768,0.4742,0.3768,0.3186,0.4645,-0.046198,1.8199,5.185
2,3,2.3975,1.266652,0.3803,0.2718,0.3803,0.2819,0.4759,-0.033648,1.7861,5.0361
2,4,2.533,1.255195,0.4049,0.287,0.4049,0.3276,0.4971,-0.033965,1.8791,5.5145
3,1,2.488,1.236172,0.412,0.2863,0.412,0.2728,0.5139,-0.0374,1.8668,5.4088
3,2,2.4204,1.250928,0.3644,0.2518,0.3644,0.2786,0.4674,-0.02816,1.8096,5.1492
3,3,2.3892,1.253747,0.375,0.3716,0.375,0.3033,0.5129,-0.026029,1.7934,5.0385
3,4,2.5236,1.246243,0.4049,0.2839,0.4049,0.3194,0.5161,-0.043845,1.8676,5.504
4,1,2.4918,1.237504,0.3979,0.2752,0.3979,0.2789,0.5064,-0.016293,1.8709,5.4185
4,2,2.4249,1.248465,0.4049,0.284,0.4049,0.3071,0.4904,-0.012499,1.8167,5.17
4,3,2.4118,1.252631,0.375,0.3566,0.375,0.3027,0.5234,-0.043891,1.8009,5.1167
4,4,2.5294,1.257717,0.3891,0.2737,0.3891,0.3092,0.4958,-0.049951,1.8682,5.4966
5,1,2.4899,1.239234,0.3856,0.2557,0.3856,0.2683,0.5291,-0.023133,1.8718,5.4082
5,2,2.4075,1.248072,0.3732,0.2682,0.3732,0.3079,0.4788,-0.045419,1.8013,5.1129
5,3,2.3872,1.248126,0.3715,0.3097,0.3715,0.2851,0.5198,-0.046543,1.7859,5.0452
5,4,2.5171,1.248871,0.4049,0.2625,0.4049,0.2773,0.5043,-0.022269,1.8635,5.4762
6,1,2.4984,1.233506,0.3891,0.2771,0.3891,0.3052,0.5208,-0.059915,1.8795,5.4498
6,2,2.4238,1.238503,0.3697,0.246,0.3697,0.2737,0.5093,-0.021473,1.8161,5.1896
6,3,2.3819,1.25223,0.3961,0.2812,0.3961,0.3257,0.504,-0.041145,1.7778,5.0177
6,4,2.5288,1.252896,0.4173,0.2929,0.4173,0.3066,0.4944,-0.022078,1.8606,5.5058
7,1,2.4815,1.231333,0.4384,0.3187,0.4384,0.3582,0.529,-0.042592,1.8697,5.3984
7,2,2.3954,1.234992,0.3944,0.2688,0.3944,0.2957,0.5116,-0.051517,1.797,5.1029
7,3,2.3964,1.260445,0.3451,0.3511,0.3451,0.2785,0.4833,-0.026391,1.7839,5.0469
7,4,2.5332,1.247592,0.3785,0.2639,0.3785,0.3045,0.5175,-0.049645,1.8824,5.5328
8,1,2.4873,1.238545,0.3908,0.2807,0.3908,0.3189,0.5214,-0.031732,1.8695,5.4012
8,2,2.397,1.234453,0.4049,0.4855,0.4049,0.3099,0.516,-0.046558,1.7997,5.1098
8,3,2.3822,1.254668,0.3574,0.2555,0.3574,0.2971,0.4965,-0.037757,1.7811,5.0131
8,4,2.5138,1.238094,0.4384,0.5137,0.4384,0.3587,0.5237,-0.034179,1.8708,5.4904
9,1,2.5265,1.225467,0.419,0.3035,0.419,0.3454,0.5335,-0.067613,1.8928,5.5623
9,2,2.3939,1.227645,0.3979,0.2722,0.3979,0.289,0.5318,-0.054216,1.8007,5.1152
9,3,2.417,1.25248,0.3856,0.2819,0.3856,0.3184,0.5273,-0.033758,1.8005,5.1344
9,4,2.534,1.246766,0.3926,0.2497,0.3926,0.2743,0.5066,-0.020165,1.8769,5.5375
10,1,2.4779,1.230078,0.3856,0.3411,0.3856,0.3214,0.519,-0.025596,1.8706,5.3896
10,2,2.4074,1.231421,0.4243,0.3073,0.4243,0.3479,0.5247,-0.036623,1.8063,5.1513
10,3,2.371,1.237583,0.3856,0.2729,0.3856,0.3188,0.548,-0.053143,1.7811,5.0155
10,4,2.5248,1.246981,0.4014,0.4757,0.4014,0.3101,0.5076,-0.006514,1.8701,5.5065
11,1,2.4751,1.215574,0.4366,0.3181,0.4366,0.3605,0.5469,-0.027702,1.8691,5.4142
11,2,2.3952,1.216078,0.3979,0.2862,0.3979,0.3283,0.5631,-0.037902,1.8135,5.1466
11,3,2.3823,1.241746,0.3697,0.2651,0.3697,0.3087,0.5201,-0.037503,1.7819,5.0434
11,4,2.5026,1.237462,0.412,0.2936,0.412,0.3381,0.533,-0.006957,1.8617,5.4546
12,1,2.4907,1.213399,0.4208,0.3096,0.4208,0.3151,0.5653,-0.043141,1.8821,5.471
12,2,2.4009,1.227497,0.419,0.3108,0.419,0.3559,0.5319,-0.009062,1.7996,5.1388
12,3,2.3897,1.247303,0.3856,0.2726,0.3856,0.3188,0.5372,-0.033456,1.7809,5.0552
12,4,2.5211,1.225616,0.4454,0.4526,0.4454,0.3624,0.5503,-0.049495,1.8772,5.5439
13,1,2.4994,1.217426,0.4278,0.3088,0.4278,0.3529,0.5382,-0.030058,1.883,5.4906
13,2,2.396,1.206218,0.4296,0.3097,0.4296,0.3561,0.5766,-0.050528,1.8124,5.1721
13,3,2.3587,1.227246,0.4261,0.3132,0.4261,0.3556,0.5634,-0.04115,1.7774,4.9986
13,4,2.5627,1.248077,0.3979,0.3188,0.3979,0.3096,0.5483,-0.043915,1.8907,5.6301
14,1,2.4702,1.220503,0.4296,0.3256,0.4296,0.368,0.5597,-0.017894,1.8701,5.3862
14,2,2.3709,1.210901,0.419,0.3089,0.419,0.3277,0.5769,-0.043005,1.7887,5.0776
14,3,2.3705,1.227167,0.4085,0.3657,0.4085,0.3399,0.5633,-0.058592,1.7758,5.0382
14,4,2.501,1.212872,0.4261,0.3025,0.4261,0.3493,0.5561,-0.021381,1.8702,5.5067
15,1,2.4836,1.2154,0.4278,0.3127,0.4278,0.359,0.5662,-0.067675,1.8694,5.4428
15,2,2.4138,1.217011,0.4384,0.3204,0.4384,0.3701,0.5408,-0.0502,1.8179,5.2064
