Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,27.6042,1.392637,0.206,0.284,0.206,0.1357,0.499,-16.018205,9.1085,88.7643
1,2,16.0695,1.324047,0.3451,0.2176,0.3451,0.2658,0.5272,-9.178379,6.6984,50.4754
1,3,7.7117,1.26237,0.3803,0.478,0.3803,0.2116,0.5235,-3.682799,4.2866,22.7601
1,4,3.8378,1.237336,0.419,0.4843,0.419,0.2495,0.5358,-0.872413,2.6415,9.9056
2,1,2.544,1.23304,0.4049,0.232,0.4049,0.2387,0.5219,-0.063161,1.9146,5.6028
2,2,2.3757,1.231777,0.3944,0.2748,0.3944,0.2763,0.4922,-0.016307,1.7862,5.0448
2,3,2.352,1.245573,0.3803,0.2657,0.3803,0.2212,0.5239,-0.015869,1.7648,4.9336
2,4,2.4873,1.246034,0.4137,0.2183,0.4137,0.2481,0.4622,-0.012476,1.8456,5.3836
3,1,2.4474,1.230767,0.3944,0.2107,0.3944,0.2373,0.5167,-0.001965,1.8476,5.2861
3,2,2.3583,1.230886,0.3996,0.272,0.3996,0.2761,0.5,-0.016661,1.7761,4.9889
3,3,2.3499,1.248956,0.375,0.2585,0.375,0.2573,0.5219,0.000206,1.7579,4.9189
3,4,2.4688,1.24136,0.4067,0.2622,0.4067,0.261,0.4854,-0.019528,1.838,5.3328
4,1,2.4338,1.226453,0.3961,0.2499,0.3961,0.2519,0.5437,-0.005457,1.8386,5.251
4,2,2.3615,1.226721,0.3926,0.2725,0.3926,0.2771,0.5214,-0.014943,1.7822,5.0094
4,3,2.3554,1.246606,0.3908,0.2813,0.3908,0.2715,0.4962,-0.020017,1.7642,4.9424
4,4,2.4728,1.240151,0.3908,0.2724,0.3908,0.3131,0.5145,-0.007362,1.8424,5.3491
5,1,2.4431,1.226724,0.4102,0.2569,0.4102,0.2513,0.539,-0.016554,1.8436,5.2814
5,2,2.3646,1.232274,0.3961,0.2599,0.3961,0.2464,0.5097,-0.026996,1.7798,5.0068
5,3,2.3421,1.242893,0.3803,0.2693,0.3803,0.3121,0.5511,-0.004868,1.7576,4.907
5,4,2.4731,1.235832,0.3926,0.2804,0.3926,0.3262,0.5435,-0.027022,1.8408,5.3601
6,1,2.4397,1.225109,0.3944,0.2439,0.3944,0.2513,0.5408,-0.004135,1.8421,5.2738
6,2,2.3569,1.225589,0.4032,0.2797,0.4032,0.2674,0.5421,-0.012787,1.7762,4.9967
6,3,2.343,1.246954,0.3697,0.2586,0.3697,0.2948,0.5,-0.010163,1.7524,4.9003
6,4,2.473,1.233415,0.4049,0.2796,0.4049,0.3215,0.5448,-0.000548,1.8422,5.3654
7,1,2.4351,1.223064,0.4049,0.281,0.4049,0.2969,0.5461,0.001292,1.8423,5.2631
7,2,2.3501,1.226628,0.3873,0.2659,0.3873,0.2883,0.5108,-0.006734,1.7719,4.9714
7,3,2.34,1.240952,0.3838,0.2697,0.3838,0.306,0.5405,-0.021971,1.753,4.9044
7,4,2.4717,1.234394,0.3996,0.2839,0.3996,0.3271,0.5365,-0.01753,1.8396,5.3587
8,1,2.4429,1.219727,0.4137,0.2946,0.4137,0.2709,0.5355,-0.01123,1.8464,5.297
8,2,2.3584,1.223765,0.3926,0.2744,0.3926,0.3059,0.5371,-0.025153,1.7776,5.0059
8,3,2.3224,1.231663,0.3803,0.268,0.3803,0.2914,0.5343,-0.013122,1.7462,4.8676
8,4,2.4707,1.230382,0.4296,0.3077,0.4296,0.3557,0.517,-0.00417,1.8431,5.3649
9,1,2.4403,1.219267,0.4032,0.2763,0.4032,0.2912,0.5552,-0.011945,1.8461,5.2893
9,2,2.3592,1.221269,0.4085,0.295,0.4085,0.3347,0.5452,-0.017256,1.7776,5.0145
9,3,2.3392,1.241077,0.3926,0.2813,0.3926,0.3005,0.5145,-0.015551,1.7556,4.9014
9,4,2.4807,1.229354,0.4419,0.3207,0.4419,0.3716,0.5693,-0.016574,1.8448,5.4004
10,1,2.4446,1.212491,0.4225,0.3002,0.4225,0.3192,0.5585,-0.023134,1.8478,5.3195
10,2,2.3561,1.221259,0.419,0.3045,0.419,0.3479,0.5279,-0.028459,1.7774,5.0039
10,3,2.3431,1.239638,0.3979,0.2816,0.3979,0.3277,0.5435,0.006119,1.7555,4.9179
10,4,2.4743,1.225632,0.4349,0.3106,0.4349,0.3577,0.534,-0.029079,1.845,5.3878
11,1,2.4335,1.210039,0.4472,0.3567,0.4472,0.3304,0.5705,-0.01246,1.8458,5.2883
11,2,2.3537,1.220261,0.4296,0.3141,0.4296,0.3628,0.557,-0.00146,1.7777,4.9985
11,3,2.3307,1.235705,0.412,0.2945,0.412,0.3434,0.5275,-0.023482,1.7484,4.8858
11,4,2.469,1.219625,0.4137,0.2846,0.4137,0.3268,0.5755,-0.004563,1.8436,5.3844
12,1,2.4364,1.218493,0.4261,0.3102,0.4261,0.3565,0.5435,-0.017997,1.8445,5.2781
12,2,2.3618,1.21872,0.4155,0.3018,0.4155,0.3488,0.5642,-0.002067,1.7832,5.0289
12,3,2.3296,1.225758,0.4349,0.3062,0.4349,0.354,0.5756,-0.003721,1.7525,4.9053
12,4,2.4547,1.211309,0.4067,0.2936,0.4067,0.3409,0.563,-0.001421,1.839,5.356
13,1,2.4394,1.213608,0.4225,0.3031,0.4225,0.3406,0.5566,-0.010268,1.847,5.2995
13,2,2.3658,1.213231,0.4384,0.3201,0.4384,0.3699,0.5464,-0.016115,1.7847,5.0551
13,3,2.342,1.222047,0.412,0.2959,0.412,0.3439,0.5616,-0.016303,1.764,4.9551
13,4,2.4667,1.211211,0.4454,0.32,0.4454,0.3714,0.5759,-0.030138,1.8437,5.3962
14,1,2.4355,1.206527,0.4419,0.3219,0.4419,0.3707,0.5427,-0.029656,1.8495,5.3033
14,2,2.3429,1.206203,0.419,0.3083,0.419,0.3551,0.5642,0.001942,1.7771,4.9954
14,3,2.3445,1.22407,0.4366,0.3095,0.4366,0.3614,0.5791,0.001153,1.7662,4.9588
14,4,2.4466,1.20263,0.4718,0.3398,0.4718,0.3947,0.5828,-0.014764,1.8401,5.349
15,1,2.4415,1.209905,0.4507,0.3295,0.4507,0.379,0.5575,-0.005063,1.8536,5.3153
15,2,2.3583,1.206943,0.4155,0.3072,0.4155,0.3524,0.5703,-0.008646,1.7849,5.0447
15,3,2.3369,1.227411,0.4014,0.2862,0.4014,0.3342,0.5553,-0.007688,1.7617,4.9257
15,4,2.4583,1.209947,0.4507,0.3313,0.4507,0.3815,0.5755,-0.014359,1.8445,5.3711
16,1,2.4093,1.190427,0.4577,0.3345,0.4577,0.3854,0.5791,-0.01313,1.8388,5.2534
16,2,2.3507,1.205703,0.4665,0.3472,0.4665,0.3955,0.574,-0.005245,1.7822,5.0223
16,3,2.3231,1.228683,0.4278,0.3075,0.4278,0.3571,0.5535,-0.018069,1.7506,4.8766
16,4,2.4646,1.208515,0.4454,0.3264,0.4454,0.3765,0.5823,-0.013085,1.8464,5.3956
17,1,2.4123,1.188971,0.4489,0.3261,0.4489,0.3738,0.5926,-0.011206,1.8429,5.2666
17,2,2.3527,1.208223,0.4437,0.3284,0.4437,0.3766,0.5695,-0.012588,1.7828,5.0231
17,3,2.3199,1.207104,0.4049,0.2924,0.4049,0.3388,0.5767,-0.0139,1.7551,4.9166
