Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,27.0755,1.361378,0.4032,0.4172,0.4032,0.2746,0.5369,-15.675233,9.0239,87.075
1,2,14.558,1.34686,0.4014,0.1621,0.4014,0.231,0.5066,-8.188953,6.3256,45.3841
1,3,6.2482,1.316517,0.3785,0.1433,0.3785,0.2079,0.4883,-2.666066,3.7063,17.7556
1,4,3.101,1.250063,0.4173,0.1741,0.4173,0.2457,0.4947,-0.388012,2.2517,7.42
2,1,2.472,1.238421,0.4102,0.4964,0.4102,0.2407,0.4665,-0.032379,1.8513,5.3504
2,2,2.373,1.231762,0.3961,0.1617,0.3961,0.2297,0.5055,-0.014678,1.7852,5.0358
2,3,2.3601,1.251534,0.3697,0.1414,0.3697,0.2046,0.483,-0.030455,1.7641,4.9469
2,4,2.4813,1.244101,0.412,0.2123,0.412,0.2473,0.4953,-0.01768,1.8448,5.3679
3,1,2.4381,1.230536,0.4032,0.1655,0.4032,0.2347,0.5262,-0.017329,1.8396,5.2558
3,2,2.357,1.233113,0.3891,0.2059,0.3891,0.2363,0.5106,-0.023966,1.7734,4.9794
3,3,2.3439,1.24853,0.375,0.2339,0.375,0.2277,0.5198,0.002091,1.7511,4.8997
3,4,2.48,1.244508,0.4032,0.2362,0.4032,0.2516,0.4834,-0.011937,1.8416,5.3628
4,1,2.4478,1.230376,0.412,0.3176,0.412,0.2537,0.5183,-0.000675,1.8444,5.2886
4,2,2.3568,1.230483,0.4014,0.2613,0.4014,0.2406,0.523,-0.0002,1.7745,4.9849
4,3,2.3544,1.251825,0.3715,0.2159,0.3715,0.2111,0.5192,-0.021076,1.7593,4.927
4,4,2.4746,1.24594,0.4014,0.2508,0.4014,0.2713,0.4944,-0.018524,1.839,5.3414
5,1,2.4449,1.230894,0.4102,0.2914,0.4102,0.256,0.5265,-0.000204,1.8419,5.2776
5,2,2.3632,1.233529,0.4032,0.327,0.4032,0.2347,0.5105,-0.002654,1.78,4.9991
5,3,2.3397,1.247637,0.3697,0.2563,0.3697,0.2541,0.5075,0.0002,1.7528,4.888
5,4,2.4868,1.242775,0.3838,0.2575,0.3838,0.2904,0.5245,-0.002838,1.8471,5.3894
6,1,2.4449,1.230524,0.4102,0.4964,0.4102,0.2407,0.5383,-0.000835,1.843,5.2785
6,2,2.3801,1.236729,0.3979,0.266,0.3979,0.2734,0.4776,-0.026109,1.786,5.0479
6,3,2.3596,1.256581,0.3662,0.2473,0.3662,0.2429,0.4755,-0.008843,1.7628,4.9333
6,4,2.4711,1.234294,0.4102,0.2671,0.4102,0.2822,0.554,-0.002522,1.8389,5.3571
7,1,2.458,1.237326,0.4085,0.2769,0.4085,0.2435,0.5185,-0.006671,1.8481,5.3063
7,2,2.3677,1.234599,0.3979,0.2814,0.3979,0.3024,0.525,-0.005048,1.779,5.0115
7,3,2.3444,1.249509,0.3732,0.2595,0.3732,0.2858,0.5124,-0.005195,1.7508,4.8991
7,4,2.4816,1.241394,0.4137,0.2867,0.4137,0.3263,0.5181,-0.012057,1.8456,5.3755
8,1,2.4582,1.23364,0.4049,0.1663,0.4049,0.2357,0.5212,-0.00609,1.853,5.3155
8,2,2.3577,1.228548,0.4085,0.2951,0.4085,0.3052,0.5394,-0.005869,1.773,4.9924
8,3,2.336,1.245852,0.3697,0.2587,0.3697,0.292,0.5301,-0.017149,1.7474,4.8798
8,4,2.4855,1.242752,0.3908,0.2386,0.3908,0.2707,0.5169,-0.006906,1.8444,5.3852
9,1,2.44,1.229783,0.4067,0.2327,0.4067,0.2398,0.5379,-0.012883,1.8402,5.2638
9,2,2.3766,1.234024,0.3979,0.2799,0.3979,0.3037,0.5082,-0.020333,1.791,5.0426
9,3,2.3569,1.250328,0.3873,0.2747,0.3873,0.3071,0.525,-0.010467,1.7536,4.939
9,4,2.4679,1.238162,0.3961,0.2503,0.3961,0.2788,0.5318,-0.014168,1.8358,5.3373
10,1,2.4389,1.222961,0.4014,0.2495,0.4014,0.2553,0.5646,-0.007516,1.8433,5.2762
10,2,2.3635,1.223506,0.3926,0.2739,0.3926,0.306,0.5591,-0.011591,1.7825,5.0235
10,3,2.333,1.237758,0.382,0.2668,0.382,0.3054,0.5643,0.006634,1.7482,4.8886
10,4,2.4667,1.223139,0.4137,0.2806,0.4137,0.2986,0.5656,0.000234,1.8406,5.3682
11,1,2.4463,1.223267,0.4049,0.2839,0.4049,0.279,0.5626,0.002583,1.8477,5.2999
11,2,2.3556,1.216874,0.3979,0.2797,0.3979,0.3188,0.5731,-0.008571,1.777,5.0126
11,3,2.3282,1.228703,0.3908,0.2753,0.3908,0.32,0.5753,0.002849,1.7556,4.8937
11,4,2.4697,1.225866,0.4067,0.48,0.4067,0.3192,0.565,-0.012812,1.8421,5.3719
12,1,2.4232,1.206773,0.4102,0.2924,0.4102,0.3234,0.585,0.00341,1.8383,5.2616
12,2,2.342,1.211808,0.4049,0.292,0.4049,0.3363,0.5844,-0.002855,1.7741,4.9791
12,3,2.336,1.230025,0.3715,0.3094,0.3715,0.2794,0.5663,-0.006616,1.7598,4.9166
12,4,2.4654,1.224843,0.382,0.3681,0.382,0.3174,0.5641,0.000795,1.8435,5.3602
13,1,2.4083,1.192405,0.4155,0.2835,0.4155,0.3007,0.6051,-0.000599,1.8327,5.2454
13,2,2.3512,1.199283,0.4261,0.3121,0.4261,0.3603,0.5954,-0.006016,1.7847,5.0391
13,3,2.3189,1.208484,0.4014,0.5058,0.4014,0.3367,0.6022,-0.012136,1.7573,4.9099
13,4,2.4647,1.209938,0.4208,0.3668,0.4208,0.3735,0.5787,-0.018013,1.8454,5.3924
14,1,2.4131,1.184263,0.4472,0.322,0.4472,0.366,0.6068,-0.01912,1.8437,5.2803
14,2,2.3395,1.191804,0.4225,0.3073,0.4225,0.3555,0.5885,-0.007843,1.7809,5.0174
14,3,2.3059,1.191125,0.4419,0.4299,0.4419,0.3776,0.6001,-0.018458,1.7539,4.9071
14,4,2.4342,1.186737,0.4507,0.3426,0.4507,0.3858,0.6082,-0.014902,1.8412,5.3451
15,1,2.4,1.161482,0.4648,0.4029,0.4648,0.4086,0.6144,-0.00321,1.8456,5.2899
15,2,2.3152,1.16533,0.4489,0.3725,0.4489,0.3897,0.6101,-0.00733,1.7768,4.9982
15,3,2.2945,1.16999,0.4648,0.4167,0.4648,0.4,0.627,-0.016879,1.7587,4.9183
15,4,2.4167,1.157656,0.4577,0.3885,0.4577,0.3991,0.6219,-0.012513,1.8438,5.3546
16,1,2.4148,1.162804,0.4542,0.4128,0.4542,0.3913,0.6295,-0.004898,1.8545,5.3362
