Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,23.6516,1.373351,0.4014,0.3916,0.4014,0.2435,0.4969,-13.494167,8.3053,75.6341
1,2,9.2816,1.407623,0.3908,0.2379,0.3908,0.2473,0.4961,-4.561786,4.6857,27.6542
1,3,2.8779,1.413074,0.3838,0.2728,0.3838,0.3164,0.5145,-0.2684,2.0344,6.2959
1,4,2.5934,1.268757,0.4331,0.3151,0.4331,0.3647,0.5361,-0.085457,1.8937,5.6843
2,1,2.522,1.249968,0.3926,0.3174,0.3926,0.3185,0.499,-0.045562,1.8841,5.49
2,2,2.3956,1.229852,0.3961,0.3861,0.3961,0.3256,0.541,-0.026864,1.8057,5.1156
2,3,2.4071,1.269613,0.3908,0.2721,0.3908,0.3021,0.4963,-0.045992,1.7862,5.0613
2,4,2.4929,1.246608,0.3944,0.2852,0.3944,0.3305,0.5264,-0.003008,1.8499,5.401
3,1,2.4684,1.236528,0.4085,0.2927,0.4085,0.3103,0.5138,-0.051661,1.8606,5.3427
3,2,2.3978,1.235308,0.4155,0.2972,0.4155,0.3406,0.5136,-0.029754,1.8023,5.1101
3,3,2.3705,1.242997,0.3961,0.3522,0.3961,0.3257,0.5554,-0.036312,1.7771,5.0012
3,4,2.51,1.236037,0.3944,0.3104,0.3944,0.3167,0.5452,-0.018853,1.8686,5.4826
4,1,2.4713,1.220659,0.419,0.4996,0.419,0.3391,0.5471,-0.031855,1.8624,5.3894
4,2,2.3747,1.213436,0.4155,0.2998,0.4155,0.3461,0.5649,-0.01777,1.7962,5.0845
4,3,2.3616,1.235231,0.382,0.2724,0.382,0.3172,0.5585,-0.023188,1.7721,4.9899
4,4,2.5058,1.228916,0.4049,0.2855,0.4049,0.3301,0.5602,-0.002139,1.8653,5.4852
5,1,2.454,1.223154,0.3996,0.3456,0.3996,0.3067,0.5457,-0.037729,1.8528,5.3261
5,2,2.4005,1.223244,0.4155,0.5089,0.4155,0.3541,0.5675,-0.027156,1.8089,5.1474
5,3,2.3573,1.227835,0.4313,0.4514,0.4313,0.3619,0.5603,-0.028821,1.7752,4.9926
5,4,2.4835,1.214477,0.4278,0.3712,0.4278,0.3721,0.5821,-0.032612,1.8611,5.4446
6,1,2.4478,1.205561,0.4243,0.3074,0.4243,0.3513,0.6005,-0.026035,1.8565,5.3463
6,2,2.3696,1.216546,0.4349,0.3168,0.4349,0.3662,0.5508,-0.031849,1.7938,5.06
6,3,2.3501,1.226788,0.4102,0.3656,0.4102,0.3467,0.5546,-0.02346,1.769,4.9711
6,4,2.5021,1.210753,0.4542,0.3781,0.4542,0.3834,0.5733,-0.015302,1.8743,5.5153
7,1,2.4425,1.191531,0.463,0.3811,0.463,0.3964,0.6087,-0.034144,1.862,5.3613
7,2,2.3638,1.188974,0.4489,0.3325,0.4489,0.3814,0.6009,-0.041327,1.7969,5.1051
7,3,2.3369,1.196047,0.4489,0.3928,0.4489,0.3757,0.6009,-0.007967,1.7728,4.9991
7,4,2.4515,1.181523,0.4648,0.3964,0.4648,0.407,0.6146,-0.028602,1.8547,5.4147
8,1,2.4119,1.15852,0.4665,0.4051,0.4665,0.3916,0.6328,-0.028252,1.8528,5.3365
8,2,2.3257,1.148906,0.5,0.4408,0.5,0.4287,0.631,-0.019458,1.795,5.0716
8,3,2.3155,1.177828,0.4877,0.4894,0.4877,0.4178,0.6247,-0.014313,1.7713,4.9701
8,4,2.4195,1.150514,0.4824,0.4165,0.4824,0.4262,0.646,-0.026751,1.8497,5.3804
9,1,2.4106,1.145887,0.4806,0.3526,0.4806,0.4049,0.6384,-0.005689,1.8588,5.3616
9,2,2.3242,1.145099,0.4859,0.4402,0.4859,0.4221,0.6434,-0.028004,1.7962,5.0754
