Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,24.7441,1.3802,0.2993,0.2951,0.2993,0.2063,0.5091,-14.134768,8.5525,79.2599
1,2,11.1925,1.2954,0.3521,0.3616,0.3521,0.2517,0.5116,-5.90211,5.3572,34.2856
1,3,3.8765,1.264972,0.3662,0.2571,0.3662,0.298,0.5099,-1.03624,2.6321,9.9701
1,4,2.5766,1.245435,0.3979,0.2655,0.3979,0.2983,0.5227,-0.062158,1.8883,5.6827
2,1,2.487,1.235976,0.4032,0.4659,0.4032,0.3047,0.5143,-0.043767,1.8691,5.4062
2,2,2.4002,1.246903,0.4049,0.2951,0.4049,0.3059,0.4725,-0.014245,1.7971,5.0913
2,3,2.368,1.256381,0.3803,0.2663,0.3803,0.3022,0.5043,-0.042406,1.7678,4.9618
2,4,2.4879,1.235535,0.4278,0.3032,0.4278,0.3495,0.5581,-0.005361,1.8545,5.4101
3,1,2.4793,1.240265,0.4067,0.2934,0.4067,0.3048,0.5081,-0.021443,1.8617,5.3703
3,2,2.3843,1.227976,0.4085,0.2921,0.4085,0.3362,0.5367,-0.039845,1.7959,5.0823
3,3,2.3459,1.233709,0.419,0.2984,0.419,0.3447,0.5521,-0.030667,1.7644,4.9412
3,4,2.4957,1.229881,0.4489,0.3222,0.4489,0.3644,0.5525,-0.016735,1.86,5.4492
4,1,2.4643,1.216974,0.4525,0.3318,0.4525,0.3825,0.5637,-0.026862,1.8671,5.3748
4,2,2.3682,1.208499,0.4542,0.3302,0.4542,0.3757,0.5695,-0.038911,1.7962,5.074
4,3,2.3381,1.216676,0.4419,0.3129,0.4419,0.3652,0.5817,-0.011794,1.7679,4.9547
4,4,2.5027,1.214773,0.4384,0.3153,0.4384,0.3659,0.5557,-0.029053,1.8672,5.5079
5,1,2.431,1.194211,0.4718,0.345,0.4718,0.3959,0.5844,-0.012934,1.8537,5.3169
5,2,2.3579,1.207265,0.4454,0.3269,0.4454,0.377,0.575,-0.02194,1.7836,5.0428
5,3,2.3531,1.209165,0.4331,0.3085,0.4331,0.3602,0.59,-0.03011,1.7768,5.0223
5,4,2.4795,1.190751,0.4754,0.4075,0.4754,0.3935,0.6062,-0.043744,1.8629,5.4866
6,1,2.4318,1.172088,0.4912,0.458,0.4912,0.419,0.621,-0.015808,1.8672,5.3711
6,2,2.3525,1.186299,0.456,0.5369,0.456,0.3931,0.5907,-0.01506,1.7907,5.0735
6,3,2.325,1.183666,0.4806,0.3425,0.4806,0.3999,0.6348,-0.053166,1.7704,4.9882
6,4,2.4566,1.175212,0.4683,0.5454,0.4683,0.3992,0.6314,-0.034641,1.8588,5.4465
7,1,2.4381,1.177128,0.4736,0.4125,0.4736,0.4021,0.61,-0.039778,1.8601,5.3802
7,2,2.361,1.178254,0.4718,0.3479,0.4718,0.4004,0.607,-0.025375,1.8037,5.1206
7,3,2.314,1.17284,0.4754,0.3815,0.4754,0.4015,0.6331,-0.015541,1.7697,4.9768
7,4,2.4534,1.159642,0.5018,0.4017,0.5018,0.4297,0.6244,-0.03046,1.8607,5.4723
8,1,2.4187,1.153003,0.4824,0.3951,0.4824,0.4123,0.6458,-0.015844,1.8548,5.3721
8,2,2.3521,1.142167,0.4771,0.484,0.4771,0.4079,0.6589,-0.03133,1.8126,5.1752
8,3,2.3255,1.140302,0.4824,0.4171,0.4824,0.4107,0.6582,-0.047032,1.7877,5.0911
8,4,2.4244,1.144389,0.4912,0.4101,0.4912,0.4329,0.6482,-0.022915,1.8523,5.4112
9,1,2.3951,1.125628,0.4982,0.4378,0.4982,0.4358,0.6601,-0.026528,1.8603,5.3571
9,2,2.3172,1.150023,0.4683,0.3735,0.4683,0.3993,0.6385,-0.009526,1.787,5.0405
9,3,2.2804,1.125891,0.493,0.4509,0.493,0.441,0.6722,-0.022628,1.7666,4.9744
9,4,2.4214,1.124072,0.5141,0.4349,0.5141,0.4558,0.6795,-0.027331,1.8599,5.4485
10,1,2.4124,1.146278,0.4736,0.4071,0.4736,0.4302,0.6559,-0.031224,1.8637,5.3668
10,2,2.2857,1.102089,0.4894,0.4443,0.4894,0.4204,0.6782,-0.020113,1.79,5.0475
10,3,2.2688,1.109885,0.5,0.4253,0.5,0.4474,0.6793,-0.047962,1.7684,4.9728
10,4,2.3758,1.084524,0.5158,0.4457,0.5158,0.4684,0.7026,-0.012899,1.8468,5.3888
11,1,2.3642,1.078652,0.5053,0.4247,0.5053,0.4428,0.6991,-0.031853,1.8609,5.3639
11,2,2.2798,1.068304,0.5317,0.461,0.5317,0.48,0.6991,-0.034066,1.7968,5.1065
11,3,2.2833,1.114282,0.4982,0.4347,0.4982,0.4439,0.701,-0.026036,1.7746,5.0109
11,4,2.4023,1.088519,0.5229,0.4726,0.5229,0.4889,0.7059,-0.03277,1.8612,5.4678
12,1,2.3686,1.07434,0.5282,0.4672,0.5282,0.4792,0.7065,-0.017936,1.867,5.3885
12,2,2.2601,1.059746,0.5194,0.4641,0.5194,0.4544,0.6958,-0.031055,1.7908,5.0608
12,3,2.2497,1.069501,0.5141,0.4465,0.5141,0.4718,0.7178,-0.005092,1.7745,5.0035
12,4,2.3682,1.059751,0.5229,0.471,0.5229,0.4899,0.7269,-0.037143,1.8564,5.4214
13,1,2.3875,1.067021,0.5211,0.4515,0.5211,0.4659,0.7181,-0.039748,1.8741,5.4687
13,2,2.2707,1.067646,0.5317,0.4678,0.5317,0.487,0.702,-0.010737,1.7931,5.0779
13,3,2.2471,1.073195,0.5123,0.4335,0.5123,0.4538,0.7287,-0.010575,1.7719,4.9861
13,4,2.3266,1.014671,0.5493,0.4875,0.5493,0.501,0.7474,-0.038037,1.8483,5.3879
14,1,2.3784,1.046964,0.544,0.502,0.544,0.4992,0.7234,-0.06037,1.8823,5.4852
14,2,2.2512,1.038751,0.5599,0.5062,0.5599,0.4963,0.7375,-0.024226,1.7948,5.0804
14,3,2.2282,1.06371,0.5194,0.4752,0.5194,0.4924,0.7248,-0.014638,1.7636,4.9454
14,4,2.3599,1.058359,0.5352,0.4742,0.5352,0.4936,0.7272,-0.023653,1.8504,5.3968
15,1,2.3321,1.040703,0.5493,0.4852,0.5493,0.5023,0.7231,-0.027063,1.8534,5.3453
15,2,2.2466,1.040513,0.5423,0.4727,0.5423,0.4871,0.7337,-0.016337,1.7925,5.061
15,3,2.2037,1.022315,0.5211,0.4636,0.5211,0.4749,0.7554,-0.023477,1.7681,4.9604
15,4,2.3664,1.013224,0.5669,0.513,0.5669,0.529,0.7514,-0.022914,1.8721,5.5239
16,1,2.305,1.011385,0.5528,0.4907,0.5528,0.5075,0.7603,-0.024968,1.8534,5.3233
16,2,2.2153,0.989809,0.5687,0.5023,0.5687,0.5007,0.7519,-0.023177,1.7889,5.0748
16,3,2.2069,1.036089,0.5317,0.4569,0.5317,0.4815,0.7456,-0.019129,1.7603,4.9389
16,4,2.3652,1.042108,0.5546,0.4965,0.5546,0.5148,0.7502,-0.03677,1.8595,5.4523
17,1,2.3086,0.993756,0.5458,0.5583,0.5458,0.5079,0.7667,-0.018822,1.8589,5.3767
17,2,2.2234,0.994362,0.5405,0.4674,0.5405,0.492,0.7541,-0.025192,1.7951,5.0911
17,3,2.1877,0.998775,0.5493,0.5638,0.5493,0.5239,0.7723,-0.03211,1.7669,4.9617
17,4,2.3258,0.991975,0.5651,0.5174,0.5651,0.5287,0.7734,-0.019535,1.8561,5.4381
18,1,2.2978,0.970729,0.588,0.5236,0.588,0.5376,0.78,-0.015133,1.8664,5.3942
18,2,2.2023,0.980504,0.5898,0.531,0.5898,0.552,0.7687,-0.022677,1.7861,5.0533
18,3,2.1529,0.964535,0.5511,0.4943,0.5511,0.5148,0.7875,-0.011896,1.7607,4.9258
18,4,2.3093,0.953521,0.5845,0.5325,0.5845,0.5538,0.7993,-0.025146,1.8699,5.4729
19,1,2.2853,0.978142,0.5739,0.509,0.5739,0.5295,0.7717,-0.019955,1.8544,5.3352
19,2,2.196,0.978309,0.5616,0.5054,0.5616,0.5262,0.7651,-0.044222,1.7873,5.0374
19,3,2.1536,0.950726,0.5669,0.5083,0.5669,0.5304,0.7902,-0.015117,1.7695,4.9602
19,4,2.3146,0.965952,0.5775,0.5361,0.5775,0.5503,0.7937,-0.037436,1.8578,5.4613
20,1,2.2557,0.945208,0.581,0.5058,0.581,0.5309,0.7857,-0.021031,1.855,5.3135
20,2,2.1818,0.943949,0.5951,0.5266,0.5951,0.5349,0.7953,-0.023307,1.7914,5.07
20,3,2.1569,0.939384,0.5986,0.5551,0.5986,0.5735,0.8053,-0.026842,1.7698,4.9977
20,4,2.2574,0.910804,0.5863,0.532,0.5863,0.5529,0.8071,-0.022053,1.8511,5.3996
21,1,2.2675,0.957272,0.5757,0.5271,0.5757,0.5445,0.787,-0.043712,1.8528,5.3247
21,2,2.1734,0.918508,0.581,0.5554,0.581,0.5483,0.7996,-0.017713,1.7927,5.1016
21,3,2.1606,0.962611,0.5845,0.5412,0.5845,0.5601,0.7888,-0.037276,1.7662,4.9561
21,4,2.2379,0.869434,0.632,0.5803,0.632,0.5979,0.8271,-0.010017,1.8541,5.4311
22,1,2.2439,0.919618,0.5827,0.5207,0.5827,0.5428,0.8029,-0.014703,1.853,5.334
22,2,2.1816,0.939388,0.6162,0.5779,0.6162,0.582,0.7923,-0.022089,1.794,5.0801
22,3,2.1685,0.962538,0.5739,0.5227,0.5739,0.5411,0.7843,-0.041326,1.772,4.9823
22,4,2.2852,0.951937,0.5757,0.5357,0.5757,0.5535,0.793,-0.010625,1.8554,5.3963
23,1,2.2725,0.943947,0.6004,0.5419,0.6004,0.5611,0.7914,-0.015579,1.8614,5.3726
23,2,2.1855,0.904504,0.6162,0.634,0.6162,0.5868,0.807,-0.049715,1.8126,5.1745
23,3,2.1064,0.882043,0.6268,0.6072,0.6268,0.5989,0.8211,-0.031625,1.7717,4.9632
23,4,2.246,0.897278,0.6109,0.5936,0.6109,0.5899,0.82,-0.015831,1.8559,5.393
24,1,2.2053,0.858268,0.6285,0.5978,0.6285,0.5964,0.8361,-0.051746,1.8602,5.3485
24,2,2.1085,0.835523,0.6496,0.591,0.6496,0.6086,0.8343,-0.026316,1.7931,5.0788
24,3,2.1035,0.885869,0.5792,0.5453,0.5792,0.5482,0.813,-0.016032,1.7674,4.9446
24,4,2.2514,0.882027,0.5863,0.5344,0.5863,0.5551,0.8222,-0.026425,1.8584,5.4465
25,1,2.2548,0.917331,0.581,0.552,0.581,0.5524,0.8086,-0.018694,1.8707,5.3756
25,2,2.1933,0.943619,0.5986,0.5686,0.5986,0.5684,0.7957,-0.034037,1.7926,5.1091
25,3,2.1054,0.850097,0.6056,0.5635,0.6056,0.569,0.8387,-0.038484,1.7747,5.0344
25,4,2.2141,0.85178,0.6215,0.5924,0.6215,0.6009,0.8352,-0.005836,1.8452,5.393
26,1,2.2239,0.856627,0.6338,0.6111,0.6338,0.6169,0.8306,-0.030059,1.8685,5.4144
26,2,2.093,0.817762,0.6549,0.6494,0.6549,0.6318,0.8472,-0.003793,1.7887,5.0685
26,3,2.0398,0.807696,0.6109,0.5798,0.6109,0.583,0.8554,-0.023439,1.7597,4.9148
26,4,2.2311,0.836068,0.6373,0.658,0.6373,0.6248,0.8405,-0.023223,1.8594,5.4863
27,1,2.1825,0.827801,0.6338,0.6018,0.6338,0.598,0.8318,-0.012126,1.8663,5.3433
27,2,2.1057,0.83907,0.669,0.6538,0.669,0.6459,0.8459,-0.017705,1.7926,5.061
27,3,2.118,0.896389,0.6162,0.6128,0.6162,0.6039,0.8248,0.005559,1.7627,4.9684
27,4,2.2302,0.838486,0.618,0.5881,0.618,0.5977,0.8343,-0.032467,1.8653,5.4775
28,1,2.1923,0.850482,0.6285,0.6078,0.6285,0.6035,0.8253,-0.021474,1.8548,5.3231
28,2,2.1084,0.843385,0.6408,0.6125,0.6408,0.6113,0.8325,-0.016691,1.7992,5.0601
28,3,2.0878,0.842796,0.6004,0.5726,0.6004,0.5749,0.8353,-0.027125,1.7699,4.9929
28,4,2.2393,0.856429,0.6232,0.6212,0.6232,0.6059,0.8296,-0.022893,1.8673,5.466
29,1,2.1594,0.783322,0.6496,0.6228,0.6496,0.6169,0.8553,-0.018884,1.8578,5.3702
29,2,2.0999,0.801882,0.6532,0.6294,0.6532,0.6305,0.8551,-0.024614,1.8027,5.1286
29,3,2.0853,0.810594,0.6444,0.6366,0.6444,0.6183,0.8477,-0.053258,1.7897,5.0598
29,4,2.1723,0.772169,0.6479,0.6217,0.6479,0.6277,0.863,-0.035397,1.8558,5.4393
30,1,2.1423,0.796811,0.6496,0.6351,0.6496,0.6333,0.8498,-0.003342,1.8446,5.2817
