Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,28.5079,1.358708,0.206,0.1793,0.206,0.0922,0.5153,-16.611597,9.2832,91.8562
1,2,18.143,1.305262,0.2254,0.1349,0.2254,0.1593,0.5065,-10.568779,7.2344,57.4309
1,3,9.5285,1.269052,0.3345,0.3652,0.3345,0.2168,0.4731,-4.941102,4.885,28.8006
1,4,4.8359,1.265574,0.375,0.2608,0.375,0.3038,0.4935,-1.477808,3.1193,13.1667
2,1,2.833,1.251756,0.4085,0.1668,0.4085,0.2369,0.4849,-0.22903,2.0821,6.5227
2,2,2.3927,1.238388,0.4049,0.3277,0.4049,0.2357,0.4976,-0.023578,1.7939,5.0861
2,3,2.3611,1.253673,0.3785,0.277,0.3785,0.2141,0.5064,0.003773,1.7656,4.9451
2,4,2.4823,1.246736,0.3891,0.2233,0.3891,0.2535,0.4695,0.006349,1.8425,5.3654
3,1,2.4669,1.236916,0.4085,0.1668,0.4085,0.2369,0.4881,-0.006279,1.8491,5.3369
3,2,2.3685,1.233162,0.4032,0.1625,0.4032,0.2317,0.4963,-0.005621,1.7811,5.0178
3,3,2.3383,1.247602,0.3785,0.2521,0.3785,0.2481,0.523,0.012899,1.7485,4.8833
3,4,2.488,1.248225,0.3944,0.2561,0.3944,0.2825,0.4812,-0.009897,1.8467,5.3809
4,1,2.4418,1.233954,0.4085,0.1668,0.4085,0.2369,0.4965,-0.002603,1.8404,5.2603
4,2,2.3752,1.233067,0.4085,0.4926,0.4085,0.243,0.513,-0.006864,1.783,5.0401
4,3,2.3464,1.248597,0.3609,0.2295,0.3609,0.2485,0.5274,0.001733,1.7533,4.9078
4,4,2.4852,1.244331,0.4155,0.275,0.4155,0.2711,0.4931,-0.01819,1.8477,5.3805
5,1,2.4581,1.241773,0.4085,0.1668,0.4085,0.2369,0.4749,-0.006682,1.8446,5.2962
5,2,2.3672,1.229362,0.4085,0.4926,0.4085,0.243,0.5311,-0.006267,1.7807,5.022
5,3,2.3355,1.244692,0.382,0.2665,0.382,0.2332,0.5336,-0.001832,1.7491,4.8807
