Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,31.4542,1.407009,0.2289,0.2246,0.2289,0.1686,0.4857,-18.416358,9.798,101.5644
1,2,24.0547,1.386286,0.2342,0.1475,0.2342,0.1632,0.4986,-14.433408,8.4038,76.9476
1,3,15.8747,1.390098,0.294,0.2838,0.294,0.2696,0.4936,-9.167699,6.5884,49.6721
1,4,9.6514,1.346068,0.419,0.3129,0.419,0.3557,0.5193,-4.401826,4.7842,29.0305
2,1,4.9826,1.289708,0.4296,0.3189,0.4296,0.3657,0.528,-1.625554,3.1248,13.5993
2,2,3.2973,1.278349,0.3961,0.2914,0.3961,0.3356,0.5069,-0.664876,2.3079,8.008
2,3,3.0042,1.266367,0.3979,0.2855,0.3979,0.3323,0.5233,-0.394678,2.1307,7.0591
2,4,2.6399,1.238255,0.4313,0.3117,0.4313,0.361,0.529,-0.109344,1.9425,5.9103
3,1,2.802,1.222723,0.4278,0.3108,0.4278,0.3417,0.5543,-0.22932,2.0431,6.4871
3,2,2.52,1.231714,0.4032,0.2847,0.4032,0.323,0.5334,-0.198466,1.8869,5.5261
3,3,2.4631,1.240469,0.3944,0.4934,0.3944,0.3186,0.5565,-0.059024,1.8432,5.3159
3,4,2.6431,1.231363,0.4137,0.3197,0.4137,0.3457,0.5653,-0.143295,1.9472,5.9372
4,1,2.5702,1.216572,0.4331,0.3833,0.4331,0.3463,0.5756,-0.102229,1.9173,5.7288
4,2,2.4259,1.218634,0.4419,0.3213,0.4419,0.3709,0.5601,-0.0607,1.8301,5.2427
4,3,2.459,1.245927,0.4032,0.2812,0.4032,0.3221,0.5519,-0.070543,1.8339,5.2894
4,4,2.5768,1.233777,0.4049,0.284,0.4049,0.3246,0.5402,-0.05474,1.9136,5.7105
5,1,2.5238,1.222909,0.4349,0.3198,0.4349,0.3502,0.557,-0.090437,1.895,5.5593
5,2,2.5093,1.221027,0.419,0.3012,0.419,0.3453,0.5687,-0.100212,1.8715,5.5152
5,3,2.4041,1.230431,0.4173,0.2922,0.4173,0.3297,0.5718,-0.081219,1.8021,5.1425
5,4,2.5453,1.230662,0.4261,0.379,0.4261,0.3519,0.5519,-0.050418,1.8943,5.6129
6,1,2.4918,1.213047,0.4525,0.3326,0.4525,0.3638,0.5816,-0.026923,1.8817,5.4756
6,2,2.4122,1.219511,0.4542,0.3293,0.4542,0.3795,0.5611,-0.062991,1.8244,5.1952
6,3,2.3866,1.239693,0.4032,0.3427,0.4032,0.3282,0.5603,-0.012956,1.7905,5.0626
6,4,2.5129,1.235596,0.4102,0.3214,0.4102,0.3449,0.5546,-0.031243,1.8729,5.4931
7,1,2.4469,1.226431,0.4225,0.3072,0.4225,0.3442,0.5513,-0.018789,1.8391,5.2947
7,2,2.3912,1.22463,0.4102,0.2903,0.4102,0.3234,0.5617,-0.031128,1.7993,5.1131
7,3,2.3817,1.235749,0.4225,0.2968,0.4225,0.3427,0.5609,-0.026867,1.7846,5.0556
