Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,21.9293,1.355848,0.4085,0.2901,0.4085,0.2724,0.504,-12.508848,7.2879,69.9339
1,2,4.0123,1.241898,0.3732,0.2657,0.3732,0.3047,0.5051,-1.093676,2.6141,10.4764
1,3,2.6729,1.25673,0.375,0.2668,0.375,0.3054,0.5098,-0.197961,1.9666,5.9772
1,4,2.7024,1.252352,0.4155,0.2863,0.4155,0.301,0.4857,-0.124779,1.9598,6.086
2,1,2.6233,1.238299,0.3979,0.2785,0.3979,0.2805,0.4918,-0.084602,1.9609,5.855
2,2,2.6276,1.242671,0.4049,0.2894,0.4049,0.3057,0.4688,-0.154251,1.9356,5.8592
2,3,2.4652,1.253441,0.3662,0.2445,0.3662,0.2622,0.5149,-0.047792,1.8407,5.2926
2,4,2.7623,1.24949,0.4085,0.2651,0.4085,0.302,0.4975,-0.155848,1.9742,6.2923
3,1,2.9069,1.267291,0.3592,0.2718,0.3592,0.307,0.4783,-0.237675,2.112,6.7327
3,2,2.4216,1.256741,0.3785,0.2705,0.3785,0.3116,0.5078,-0.007264,1.8117,5.1395
3,3,2.4896,1.256739,0.3732,0.2656,0.3732,0.2781,0.4797,-0.070323,1.8502,5.3663
3,4,2.537,1.24785,0.4173,0.1741,0.4173,0.2457,0.481,-0.030161,1.8929,5.545
4,1,2.6008,1.238213,0.4049,0.2607,0.4049,0.248,0.4849,-0.070676,1.9432,5.78
4,2,2.4169,1.236457,0.3961,0.2792,0.3961,0.3111,0.487,-0.022717,1.8166,5.1712
4,3,2.4434,1.262208,0.3609,0.2525,0.3609,0.2923,0.5069,-0.035806,1.8229,5.1994
4,4,2.839,1.25552,0.4173,0.3032,0.4173,0.2606,0.4805,-0.227083,2.0883,6.5339
5,1,2.8339,1.247452,0.382,0.2746,0.382,0.3153,0.5198,-0.230912,2.0527,6.5356
5,2,2.6302,1.242154,0.368,0.272,0.368,0.3123,0.5018,-0.153731,1.9228,5.8688
5,3,2.5076,1.267315,0.3451,0.245,0.3451,0.2861,0.4912,-0.095826,1.8751,5.4016
5,4,2.606,1.248971,0.4208,0.3095,0.4208,0.2825,0.4878,-0.078631,1.9377,5.7725
6,1,2.7508,1.240363,0.4085,0.2769,0.4085,0.2435,0.4969,-0.180698,2.0288,6.2753
6,2,2.4179,1.24179,0.4014,0.1621,0.4014,0.231,0.4811,-0.024201,1.82,5.162
6,3,2.4563,1.252907,0.3785,0.2627,0.3785,0.2965,0.4948,-0.064338,1.8094,5.2644
6,4,2.7474,1.259755,0.3539,0.2345,0.3539,0.269,0.4604,-0.175774,1.9975,6.2187
7,1,3.0451,1.249966,0.4085,0.1668,0.4085,0.2369,0.4685,-0.355624,2.1533,7.2339
7,2,2.5791,1.236293,0.3961,0.2437,0.3961,0.2411,0.499,-0.125292,1.9172,5.7123
7,3,2.5855,1.258763,0.3556,0.2537,0.3556,0.2962,0.5015,-0.146228,1.8671,5.6811
7,4,2.7017,1.253269,0.4102,0.2843,0.4102,0.2942,0.494,-0.144267,1.9888,6.0812
8,1,2.6034,1.235079,0.4085,0.2986,0.4085,0.2547,0.5107,-0.096961,1.9377,5.7961
8,2,2.5625,1.245461,0.3944,0.2552,0.3944,0.2586,0.4693,-0.119025,1.8825,5.6356
8,3,2.3944,1.253286,0.3768,0.267,0.3768,0.2928,0.5064,-0.024071,1.7876,5.0571
8,4,2.6153,1.253,0.4155,0.2768,0.4155,0.248,0.4592,-0.072002,1.9279,5.7941
9,1,2.4543,1.242385,0.375,0.2542,0.375,0.2801,0.4987,0.004345,1.8535,5.2821
