Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
1,1,20.0479,1.360087,0.3363,0.2804,0.3363,0.2023,0.4779,-11.192157,7.5801,63.6529
1,2,14.2728,1.333152,0.3292,0.1084,0.3292,0.1631,0.5143,-7.989779,6.2892,44.4654
1,3,10.6072,1.31671,0.3345,0.1119,0.3345,0.1677,0.5121,-5.695963,5.2511,32.2851
1,4,8.0231,1.320636,0.3099,0.3042,0.3099,0.1526,0.4718,-3.471998,4.3784,23.6622
2,1,5.3508,1.27496,0.3415,0.2687,0.3415,0.2282,0.4676,-1.858588,3.3437,14.861
2,2,3.7313,1.257305,0.3609,0.2665,0.3609,0.3059,0.4615,-0.907282,2.5909,9.5041
2,3,2.7904,1.260745,0.375,0.2624,0.375,0.2639,0.5162,-0.309851,2.0511,6.3595
2,4,2.6552,1.26521,0.3803,0.2587,0.3803,0.2974,0.4698,-0.127895,1.9538,5.8984
3,1,2.5083,1.246387,0.4014,0.2313,0.4014,0.2404,0.4833,-0.04234,1.8761,5.4526
3,2,2.4076,1.24152,0.4014,0.2816,0.4014,0.2939,0.4645,-0.057003,1.8074,5.1285
3,3,2.3793,1.250042,0.3856,0.2827,0.3856,0.2717,0.5186,-0.047074,1.7807,5.0144
3,4,2.5327,1.25273,0.4137,0.2861,0.4137,0.3154,0.5051,-0.027344,1.8696,5.5193
4,1,2.4923,1.240573,0.4155,0.3743,0.4155,0.2551,0.4921,-0.04878,1.8719,5.413
4,2,2.4043,1.234277,0.3926,0.2728,0.3926,0.2839,0.5048,-0.039459,1.8081,5.1342
4,3,2.4022,1.265892,0.3715,0.2316,0.3715,0.2336,0.4559,-0.044851,1.7875,5.0536
4,4,2.5146,1.252297,0.3961,0.2754,0.3961,0.2984,0.486,-0.037012,1.867,5.4601
5,1,2.4839,1.241332,0.4102,0.3549,0.4102,0.2495,0.4848,-0.030546,1.8651,5.3833
5,2,2.4187,1.233812,0.4155,0.2957,0.4155,0.283,0.5223,-0.006621,1.8156,5.1835
5,3,2.3919,1.251875,0.3838,0.2625,0.3838,0.2569,0.5166,-0.050299,1.7872,5.0519
5,4,2.5129,1.242942,0.4137,0.2831,0.4137,0.2812,0.4968,-0.041601,1.8677,5.476
6,1,2.4848,1.237121,0.4155,0.3333,0.4155,0.2635,0.5136,-0.048007,1.868,5.396
6,2,2.4068,1.237196,0.3803,0.2726,0.3803,0.3052,0.4996,-0.039482,1.8051,5.136
6,3,2.3853,1.258264,0.3732,0.254,0.3732,0.2362,0.4878,-0.034577,1.7808,5.0151
6,4,2.5195,1.250412,0.3838,0.2546,0.3838,0.2896,0.4917,-0.042037,1.868,5.4808
7,1,2.5105,1.240714,0.4014,0.2522,0.4014,0.2551,0.4872,-0.068706,1.8814,5.4735
7,2,2.4062,1.241265,0.3838,0.2493,0.3838,0.2614,0.4889,-0.023906,1.8043,5.1244
7,3,2.3924,1.257379,0.3539,0.2343,0.3539,0.254,0.4836,-0.035441,1.7869,5.0409
7,4,2.533,1.251878,0.4243,0.2893,0.4243,0.296,0.4757,-0.042239,1.8692,5.5223
8,1,2.471,1.237415,0.4102,0.332,0.4102,0.241,0.5251,-0.020211,1.8552,5.3494
8,2,2.4241,1.238363,0.3732,0.2581,0.3732,0.2867,0.4888,-0.038799,1.8194,5.191
8,3,2.3838,1.250643,0.3697,0.2302,0.3697,0.2504,0.5155,0.005186,1.7838,5.0278
8,4,2.5271,1.253323,0.382,0.2125,0.382,0.2513,0.4748,-0.029658,1.871,5.4991
9,1,2.4736,1.23971,0.4049,0.2673,0.4049,0.2564,0.4976,-0.042421,1.8559,5.3528
9,2,2.4106,1.240018,0.3891,0.2676,0.3891,0.2803,0.4876,-0.044769,1.8052,5.1421
9,3,2.3868,1.25588,0.3697,0.26,0.3697,0.2782,0.5053,-0.01632,1.7771,5.0258
9,4,2.5137,1.250644,0.4032,0.2436,0.4032,0.2658,0.4885,-0.039083,1.8596,5.4608
10,1,2.496,1.239154,0.4102,0.3316,0.4102,0.2497,0.4881,-0.020633,1.87,5.4287
10,2,2.4187,1.241765,0.3768,0.2636,0.3768,0.3019,0.4675,-0.033552,1.8156,5.1647
10,3,2.3993,1.261399,0.3838,0.2882,0.3838,0.2284,0.4775,-0.035296,1.7848,5.0545
10,4,2.525,1.246361,0.4208,0.2879,0.4208,0.2918,0.4996,-0.020281,1.874,5.5085
11,1,2.4953,1.241211,0.4067,0.2614,0.4067,0.249,0.4873,-0.026079,1.871,5.4215
11,2,2.4131,1.246834,0.3785,0.2449,0.3785,0.2684,0.4583,-0.029138,1.8099,5.1344
11,3,2.3961,1.25667,0.3574,0.2483,0.3574,0.2836,0.4809,-0.047101,1.7913,5.0548
11,4,2.5167,1.245482,0.4155,0.2261,0.4155,0.2488,0.5094,-0.044522,1.863,5.4827
12,1,2.4798,1.233641,0.4155,0.3227,0.4155,0.2802,0.5189,-0.01532,1.8657,5.3875
12,2,2.4246,1.237813,0.3926,0.2816,0.3926,0.3203,0.509,-0.053907,1.8131,5.1936
12,3,2.3867,1.254367,0.375,0.2693,0.375,0.229,0.4969,-0.010887,1.7835,5.0287
12,4,2.5235,1.245142,0.4173,0.2824,0.4173,0.2768,0.5191,-0.024388,1.8674,5.5062
13,1,2.4888,1.24089,0.4102,0.2776,0.4102,0.2445,0.4892,-0.022289,1.8681,5.4007
13,2,2.3863,1.233122,0.3944,0.2564,0.3944,0.2779,0.5167,-0.013566,1.7977,5.0769
13,3,2.3999,1.258694,0.3856,0.2678,0.3856,0.2834,0.49,-0.035332,1.7869,5.0626
